Term	Overlap	P-value	Adjusted P-value	Z-score	Combined Score	Genes
Lung	13/299	0.20024750131930186	0.9999999999904382	-1.1193358843540304	0.00000000001070286115739136	CEBPD;TSC22D3;TCF21;CRIP1;DUOX1;PDLIM2;IFI27;LAMP3;DDIT4;NKX2-1;FBP1;MGLL;HLA-DQB1
Amygdala	12/345	0.4643176486084539	0.9999999999904382	-0.8207366000008417	0.000000000007847715774490553	GABRA2;CNKSR2;GUCY1B3;PCLO;RTN1;PSD3;FSCN1;NRXN2;ENPP4;SLC7A11;LRP1B;NPAS3
PancreaticIslet	7/123	0.18820072749363073	0.9999999999904382	-0.8149993557711064	0.00000000000779285741671322	MMP7;PDK4;INSM1;SERPINB7;SOD2;ELL2;IDO1
Uterus	8/201	0.36812749981143017	0.9999999999904382	-0.7604309512727688	0.000000000007271085475788512	SOCS2;LUM;PALLD;SYNPO2;WNT5A;SH3PXD2B;RAMP1;MEIS2
Lymphoma_burkitts(Daudi)	5/139	0.4415319435358078	0.9999999999904382	-0.6911375331187897	0.000000000006608515961141797	ISG20;CXCL10;ISG15;PTPN22;RPS4Y1
CD4+_Tcells	19/533	0.5352640061044027	0.9999999999904382	-0.5576183244238555	0.0000000000053318325522726704	KDM5D;RGS14;TSC22D3;ARAP2;TMC8;IL16;DEF6;FLI1;ZFP36L2;ARHGAP4;CD2;TBC1D4;TBC1D10C;ITGB7;CCR7;NLRP1;CD69;IL7R;CLEC2D
AdrenalCortex	4/106	0.2647396322990863	0.9999999999904382	-0.49117300242212136	0.000000000004696495951451434	NR4A2;NR4A1;MC2R;NR4A3
Adipocyte	6/181	0.4527793087422177	0.9999999999904382	-0.3873836720864968	0.000000000003704083568601862	FABP4;PALLD;AKR1C1;COL6A1;G0S2;LAMC1
Lymphnode	3/37	0.23639120600039168	0.9999999999904382	-0.3048688618802395	0.0000000000029150938029644146	CXCL9;CCL19;CXCL13
FetalThyroid	2/66	0.4822230915709848	0.9999999999904382	0.017488491200106624	-0.00000000000016722138169904357	SDC2;NKX2-1
CD56+_NKCells	20/752	0.7404165580422228	0.9999999999904382	0.03768321445889971	-0.000000000000360319201729659	ARHGAP9;C11ORF21;DUSP2;CD300A;ITGB2;ARAP2;PTPN22;PCSK5;ADCY7;PIK3CG;FLI1;TSPAN32;CCND3;DOK2;GNG2;IFNG;RAC2;TBC1D10C;ITGB7;ENPP4
Leukemia_chronicMyelogenousK-562	4/124	0.5835195280209324	0.9999999999904382	0.10709147594259652	-0.0000000000010239868248440833	SOCS2;GADD45A;TFPI;SAMSN1
TemporalLobe	2/34	0.5689281552863568	0.9999999999904382	0.12272639474915088	-0.0000000000011734847258161488	SPRED2;HTRA4
Caudatenucleus	2/69	0.5050545984933915	0.9999999999904382	0.13297749175519685	-0.0000000000012715036221101575	PDE10A;RGS14
Trachea	2/72	0.5272247230596631	0.9999999999904382	0.133393588527081	-0.000000000001275482254475799	EHF;MUC16
CingulateCortex	1/33	0.5584252428184658	0.9999999999904382	0.1415228679045819	-0.000000000001353212763881605	CFB
Tongue	4/115	0.5335703341197956	0.9999999999904382	0.14810100998451559	-0.0000000000014161116151908834	CSTA;CMYA5;TXN;S100A8
CD8+_Tcells	16/602	0.7941373222980176	0.9999999999904382	0.2670081606607402	-0.000000000002553077509072764	C11ORF21;DUSP2;RGS14;CRTAM;ARAP2;IL16;DEF6;FLI1;TSPAN32;ARHGAP4;CD2;XIST;NLRP1;CD69;IL7R;CLEC2D
Tonsil	1/26	0.4774057474105558	0.9999999999904382	0.28393623880843244	-0.0000000000027149403356011745	CXCL13
CardiacMyocytes	6/273	0.7930497775589528	0.9999999999904382	0.4451099223142342	-0.000000000004256050185557824	IL1R1;COL6A1;LAMC1;SLC7A11;THBS1;PVR
Bonemarrow	2/52	0.7205946871829139	0.9999999999904382	0.49589899889278727	-0.0000000000047416849646537134	S100A12;RNASE2
Thyroid	8/388	0.8321683986140993	0.9999999999904382	0.5645928007716595	-0.000000000005398521070919721	DUOX1;HHEX;KCNQ1;SDC2;BHLHE41;NKX2-1;PPARGC1A;ZFP36L2
Cerebellum	3/108	0.7394527930184928	0.9999999999904382	0.5825371873604179	-0.000000000005570101631231046	COL6A1;S1PR1;ZFPM2
Ovary	2/41	0.6357950021579003	0.9999999999904382	0.6462761347370979	-0.0000000000061795604305302135	CEBPD;PDK4
OlfactoryBulb	3/83	0.6026159554413666	0.9999999999904382	0.7003603075513242	-0.000000000006696702246971739	RGS1;CYP1B1;GPR137B
Appendix	2/127	0.8146484775990225	0.9999999999904382	0.7118565253932682	-0.000000000006806626734444469	SMAD3;ZFY
CerebellumPeduncles	4/137	0.8459057858067921	0.9999999999904382	0.7726205184091366	-0.000000000007387639627632339	PSD3;NRXN2;ADARB1;ZFPM2
Fetalliver	2/126	0.8112298896053683	0.9999999999904382	0.8177911130570977	-0.000000000007819551629803997	CPS1;F5
SubthalamicNucleus	2/77	0.8471489163741762	0.9999999999904382	0.8607965383063261	-0.000000000008230760724313367	ADARB1;SDK2
Salivarygland	2/57	0.7523260580331815	0.9999999999904382	1.0253751436774408	-0.000000000009804427741859833	CXCL9;PPARGC1A
colon	6/258	0.8725916977465703	0.9999999999904382	1.079152676836377	-0.000000000010318637532533406	C15ORF48;EHF;ST14;MECOM;MAOA;SYNPO2
PrefrontalCortex	11/521	0.9378742242743482	0.9999999999904382	1.2009919714263289	-0.000000000011483639987773474	CNKSR2;KCNJ6;PCLO;PSD3;IL1RAPL1;SLC1A2;GTDC1;XIST;ELOVL7;PRKACB;NPAS3
CD105+_Endothelial	6/370	0.945894934646162	0.9999999999904382	1.2158390572341973	-0.000000000011625604790487895	TFRC;LMO2;C20ORF27;CD36;BLVRA;ADD2
retina	5/218	0.8990998882957801	0.9999999999904382	1.2421766872004096	-0.00000000001187743983007103	ARMC9;CYP1B1;PLAT;COL9A2;GPR137B
Liver	12/618	0.933718059951152	0.9999999999904382	1.2733779188280197	-0.000000000012175779635591191	CYP27A1;MECOM;CPS1;FCGRT;CYP1B1;CIDEB;PPIB;FBP1;CFB;F5;ASGR2;ADD2
small_intestine	4/220	0.902441074050596	0.9999999999904382	1.3426865149344414	-0.000000000012838494278719817	ADAMDEC1;CPS1;MAOA;PLAT
Spinalcord	2/105	0.9223237889764972	0.9999999999904382	1.3652489757584072	-0.000000000013054231921855727	BAALC;ELOVL7
Prostate	5/249	0.9408499031490066	0.9999999999904382	1.5038975123868183	-0.000000000014379960917014098	SOCS2;CAB39L;NEFH;ALOX15B;NKX3-1
TrigeminalGanglion	5/196	0.95105799253748	0.9999999999904382	1.5189195759517171	-0.00000000001452359882131072	ADAM19;NR4A3;AKR1C1;TRAFD1;MMP19
CD71+_EarlyErythroid	11/553	0.9589896129857376	0.9999999999904382	1.5470155438323852	-0.000000000014792246728978628	CDKN2D;KDM5D;TFRC;EIF1AY;GADD45A;COL6A1;CD36;TTPAL;MBNL3;ELL2;ADD2
Lymphoma_burkitts(Raji)	6/355	0.9918247889851219	0.9999999999904382	1.667831850473359	-0.000000000015947467582345086	FGR;MAP4K1;SOCS1;RGS19;DDIT4;HLA-DQB1
Fetalbrain	5/325	0.9854003824631445	0.9999999999904382	1.6847382015307035	-0.00000000001610912265887227	CXCL10;RTN1;KIF2A;STMN1;NRXN2
CiliaryGanglion	5/278	0.9910893934325977	0.9999999999904382	1.7236812468130622	-0.000000000016481488105677926	PALLD;TNFRSF9;CD36;CLU;SDK2
SkeletalMuscle	4/441	0.9941875909336948	0.9999999999904382	1.7396162854030612	-0.00000000001663385569073472	NRP2;CMYA5;BLVRA;CRLF2
Colorectaladenocarcinoma	2/292	0.9933969876990096	0.9999999999904382	1.8841079879156157	-0.00000000001801545584490063	WNT5A;GGH
OccipitalLobe	2/35	0.9999999999627415	0.9999999999904382	1.9713096523231735	-0.00000000001884926035335355	GUCY1B3;PRKACB
pineal_day	11/694	0.9980022687483812	0.9999999999904382	2.018861888046189	-0.00000000001930394512115289	PCLO;SMAD3;MREG;IL15;COL6A1;LSAMP;AMPD2;GPC5;CKB;NEFH;RYR3
pineal_night	9/674	0.9972059235947792	0.9999999999904382	2.0443529329423606	-0.00000000001954768528716928	PCLO;MREG;IL15;COL6A1;LSAMP;AMPD2;INSM1;NEFH;RYR3
TestisIntersitial	5/568	0.9980868712604725	0.9999999999904382	2.049390433124281	-0.000000000019595852835249403	DDX3Y;KIF2A;TDRD6;CLGN;SOX5
Wholebrain	2/240	0.99708777685354	0.9999999999904382	2.1966192629554318	-0.00000000002100362484191332	SPRED2;SLC1A2
SuperiorCervicalGanglion	6/602	0.9997472158218773	0.9999999999904382	2.323426850091593	-0.000000000022216133095953066	PDE10A;TRPA1;RGS1;IL2RA;CD36;AIF1
TestisGermCell	1/314	0.9995253501476231	0.9999999999904382	2.324162829200219	-0.000000000022223170377902542	SOX5
721_B_lymphoblasts	22/1543	0.9998132810429977	0.9999999999904382	2.3897176943805034	-0.00000000002284999261242869	MAP4K1;NEK9;GUCY1B3;CCL22;CMTM3;CD300A;CD80;LY86;ZBTB32;C1ORF54;TRAF1;IPCEF1;ARNTL2;MRPL30;KIF2A;KYNU;FSCN1;RAB9A;CCR7;RHOV;MSC;SLAMF1
UterusCorpus	1/98	0.9999999999904381	0.9999999999904382	2.4093547227176693	-0.000000000023037757867500213	HTR2B
GlobusPallidus	1/59	0.9999999999529376	0.9999999999904382	2.4147963242707466	-0.00000000002308978935037369	COL6A1
Heart	1/415	0.9999607432192509	0.9999999999904382	2.4371378038444997	-0.000000000023303414015919517	IFI27
AtrioventricularNode	2/269	0.9985678254953928	0.9999999999904382	2.4796342944321172	-0.000000000023709756781119208	PTPRE;TRAFD1
CD34+	3/645	0.9999816918803183	0.9999999999904382	2.6145194126734252	-0.000000000024999500738151525	DDX3Y;LMO2;SLC40A1
DorsalRootGanglion	2/69	0.9999999999652837	0.9999999999904382	2.7749718667084395	-0.000000000026533714339183833	CDYL2;SDK2
